[24.08.2021 21:10:26] Gracz otrzymał ostrzeżenie, powód: .l.
[24.08.2021 21:10:32] Gracz otrzymał ostrzeżenie, powód: .l.
[24.08.2021 21:18:42] Gracz otrzymał ostrzeżenie, powód: kurba jak jezdzisz kurbancka
[25.08.2021 00:30:56] Gracz otrzymał ostrzeżenie, powód: chuj
[25.08.2021 00:30:57] Gracz otrzymał ostrzeżenie, powód: chuj
[25.08.2021 00:30:58] Gracz otrzymał ostrzeżenie, powód: chuj
[25.08.2021 00:30:58] Gracz otrzymał ostrzeżenie, powód: chujt
[25.08.2021 00:31:10] Gracz stracił uprawenienia do prowadzenia pojazdów do 25.08.2021 00:32:10, powód: chuj
[25.08.2021 22:32:12] Gracz otrzymał ostrzeżenie, powód: chuj
[25.08.2021 22:32:13] Gracz otrzymał ostrzeżenie, powód: chuj
[25.08.2021 22:32:13] Gracz otrzymał ostrzeżenie, powód: chujt
[25.08.2021 22:32:13] Gracz otrzymał ostrzeżenie, powód: chujt
